date time,,packet id,,accel x, accel y, accel z, gyroz, gyro y, gyro z, compass x, compass y , compass z
2011/8/1 12:01:59,,24,,3744,-112,1616,-469,61,162,17,-60,196
2011/8/1 12:01:59,,24,,3712,-64,1600,-474,61,162,16,-52,192
2011/8/1 12:01:59,,24,,3728,-144,1584,-490,62,166,15,-53,194
2011/8/1 12:01:59,,24,,3616,-144,1568,-493,64,164,15,-53,194
2011/8/1 12:01:59,,24,,3760,-80,1728,-506,56,169,15,-53,194
2011/8/1 12:01:59,,25,,3760,-64,1600,-510,63,172,14,-56,189
2011/8/1 12:01:59,,25,,3808,-160,1664,-526,65,163,15,-54,184
2011/8/1 12:01:59,,25,,3808,-144,1680,-536,65,161,15,-54,184
2011/8/1 12:01:59,,25,,3808,-64,1584,-543,73,148,15,-54,184
2011/8/1 12:01:59,,25,,3808,-80,1584,-553,73,144,16,-57,179
2011/8/1 12:01:59,,26,,3744,-48,1616,-554,77,141,28,-54,185
2011/8/1 12:01:59,,26,,3760,-96,1600,-561,88,135,28,-54,185
2011/8/1 12:01:59,,26,,3744,-160,1584,-572,83,132,28,-54,185
2011/8/1 12:01:59,,26,,3696,-48,1728,-566,81,125,22,-60,180
2011/8/1 12:01:59,,26,,3808,240,1664,-560,83,123,28,-56,182
2011/8/1 12:02:00,,27,,3792,-256,1696,-562,92,127,28,-62,178
2011/8/1 12:02:00,,27,,3824,-64,1600,-562,86,132,28,-62,178
2011/8/1 12:02:00,,27,,3808,-80,1664,-559,83,135,29,-64,181
2011/8/1 12:02:00,,27,,3824,-32,1568,-551,79,152,33,-62,179
2011/8/1 12:02:00,,27,,3904,-80,1568,-544,75,160,32,-61,176
2011/8/1 12:02:00,,28,,3824,-80,1664,-534,65,176,32,-61,176
2011/8/1 12:02:00,,28,,3824,-112,1648,-533,66,174,32,-61,176
2011/8/1 12:02:00,,28,,3840,-64,1728,-524,75,185,32,-65,170
2011/8/1 12:02:00,,28,,3744,-48,1712,-521,75,186,38,-61,177
2011/8/1 12:02:00,,28,,3760,-80,1744,-511,74,187,38,-61,177
2011/8/1 12:02:00,,29,,3728,32,1680,-502,58,185,38,-61,177
2011/8/1 12:02:00,,29,,3712,0,1680,-496,60,186,35,-62,169
2011/8/1 12:02:00,,29,,3760,48,1776,-494,50,173,33,-66,171
2011/8/1 12:02:00,,29,,3696,96,1792,-485,62,164,33,-66,171
2011/8/1 12:02:00,,29,,3712,112,1824,-485,60,156,33,-66,171
2011/8/1 12:02:00,,30,,3728,80,1760,-476,65,141,37,-65,165
2011/8/1 12:02:00,,30,,3760,96,1808,-472,59,136,38,-75,164
2011/8/1 12:02:00,,30,,3696,80,1776,-468,68,124,41,-73,165
2011/8/1 12:02:00,,30,,3824,80,1696,-474,82,119,41,-73,165
2011/8/1 12:02:00,,30,,3760,80,1808,-480,93,106,35,-70,162
2011/8/1 12:02:00,,31,,3776,64,1664,-483,97,105,44,-63,162
2011/8/1 12:02:00,,31,,3792,0,1664,-493,91,103,41,-71,158
2011/8/1 12:02:00,,31,,3824,16,1664,-492,81,94,41,-71,158
2011/8/1 12:02:00,,31,,3792,48,1552,-501,60,95,41,-71,158
2011/8/1 12:02:00,,31,,3776,-48,1728,-505,58,93,51,-78,155
2011/8/1 12:02:00,,32,,3744,-64,1744,-505,50,90,46,-71,157
2011/8/1 12:02:00,,32,,3776,-64,1728,-506,58,92,46,-71,157
2011/8/1 12:02:00,,32,,3792,-112,1760,-509,52,85,46,-71,157
2011/8/1 12:02:00,,32,,4048,-144,1680,-513,49,87,45,-68,157
2011/8/1 12:02:00,,32,,3872,-144,1728,-517,45,90,48,-74,156
2011/8/1 12:02:00,,33,,3856,-176,1760,-519,37,93,48,-74,156
2011/8/1 12:02:00,,33,,3840,-208,1792,-519,36,95,48,-74,156
2011/8/1 12:02:00,,33,,3792,-304,1744,-534,36,94,45,-74,143
2011/8/1 12:02:00,,33,,3840,-304,1792,-545,50,99,55,-78,151
2011/8/1 12:02:00,,33,,3792,-352,1808,-561,55,104,51,-76,149
2011/8/1 12:02:00,,34,,3856,-336,1904,-588,76,106,51,-76,149
2011/8/1 12:02:00,,34,,3744,-320,1808,-609,88,114,52,-68,148
2011/8/1 12:02:00,,34,,3792,-272,1840,-631,108,118,53,-74,141
2011/8/1 12:02:00,,34,,3744,-304,1920,-643,108,129,54,-74,139
2011/8/1 12:02:00,,34,,3696,-336,1952,-659,123,144,54,-74,139
2011/8/1 12:02:00,,35,,3760,-368,1872,-677,130,152,54,-74,139
2011/8/1 12:02:00,,35,,3712,-352,1984,-680,157,152,65,-80,141
2011/8/1 12:02:00,,35,,3600,-368,1936,-700,179,155,57,-80,137
2011/8/1 12:02:00,,35,,3584,-336,2016,-708,193,163,57,-80,137
